Class Level1|Class Level2|Product Family|Product Number|Product Description|Manufacturer|Manufacturer Product Number|Minimum Order Quantity|Multiple Order Quantity|List Price|HCPC|RXTYPE|Most Popular|Focus 600|Latex Free|Base UoM|Sales UoM|Case Packaging|HCPC Documents|HRE Documents|LRE Documents|MSD Sheets|Marketing Documents|Primary Documents|Videos|Detailed Product Description|Product Web Description|Corp Designation|Product Division|Substitute Material 1|Substitution Code 1|Substitute Material 2|Substitution Code 2|Substitute Material 3|Substitution Code 3|EAN/UPC Code|EAN Category|Dimensions|Gross Weight|Unit Weight|Parent Material|																					
OR & Surgery Supplies|Anesthesia Systems & Supplies|Neonatal Probe Adaptors by Teleflex|1763|ADAPTER	NEONATAL	PROBE	10MM OD	OUS|MEDLINE|1763|0.000EA|1.000CS|90.04 ||OV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/176/1763_PRI01.JPG|||<ul><li> Probe adapter designed for easy attachment </li><li> Components allow for easy set-up andusage</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.068 |LB|HUD1763|																
OR & Surgery Supplies|Anesthesia Systems & Supplies|Neonatal Adaptor by Teleflex|1764|ADAPTER	NEONATAL	10MM OD X 7.5MM OD	OUS|MEDLINE|1764|0.000EA|1.000CS|82.16 ||OV||||EA|CS|100 Each / Case||||||http://www.medline.com/media/catalog/sku/176/1764_PRI01.JPG|||<ul><li> Neonatal respiratory adapter</li><li> For connecting 10 mm Inner Dia. and 7.5 mm Inner Dia.orifices</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.005 |LB|HUD1764|																	
Respiratory|Oxygen Therapy|Neonatal Pressure Line Tee by Teleflex|1765|ADAPTER	PRESS LINE	NEO	1/8" X 1/8"	OUS|MEDLINE|1765|0.000EA|1.000CS|125.98 ||OV||||EA|CS|100 Each / Case||||||http://www.medline.com/media/catalog/sku/176/1765_PRI01.JPG|||<ul><li> Connects tubing to pressure line</li><li> Packaged 100 to a case</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.003 |LB|HUD1765|																
OR & Surgery Supplies|Anesthesia Systems & Supplies|Step-Down Adaptors by Teleflex|1768|ADAPTER	STEP-DOWN	15MM OD X 22MM OD	OUS|MEDLINE|1768|0.000EA|1.000CS|51.00 ||OV|||Yes|EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/176/1768_PRI01.JPG|||<ul><li> Step-down adapter intended for use with respirator</li><li> Components allow for easy set-up andusage</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.014 |LB|HUD1768|																	
OR & Surgery Supplies|Anesthesia Systems & Supplies|Step-Down Adaptors by Teleflex|1769|ADAPTER	STEP- DOWN	15MM OD X 22MM ID	OUS|MEDLINE|1769|0.000EA|1.000CS|82.51 ||||||EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/176/1769_PRI01.JPG|||<ul><li> Step-down adapter intended for use with respirator</li><li> Components allow for easy set-up andusage</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.004 |LB|HUD1769|																	
Respiratory|Asthma Therapy|Neonatal Nebulizer Kit by Teleflex|1790|NEB	NEONATAL KIT	12" TUBE	NEO TEE	OU|MEDLINE|1790|0.000EA|1.000CS|425.31 ||RV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/179/1790_PRI01.JPG|||<ul><li> Small-volume nebulizer kit is designed for administration of nebulizer therapy during neonatal mechanicalventilation with 10 mm ID circuits</li><li> Includes Updraft II nebulizer	 corrugated tube	 nebulizer adapter	 teeadapter	 and oxygen supply tubing</li><li> Single-use to reduce risk of cross contamination</li></ul>||35|||||||||0.001LB	 0.026CF PER CS|0.001 |LB|HUD1790|												
Respiratory|Asthma Therapy|Neonatal Adaptor Kit by Teleflex|1792|NEBULIZER KIT	 ADAPTER	 NEONATAL	OUS|MEDLINE|1792|0.000EA|1.000CS|255.53 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/179/1792_PRI01.JPG|||<ul><li> Adapter kit designed for administration of small-volume nebulizer therapy during neonatal mechanicalventilation with 10 mm ID circuit without nebulizer and oxygen tubing</li><li> Organized for easy access	 reducedprocedure time	 greater efficiency	 and increased compliance with recommended guideline</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.001 |LB|HUD1792|														
Respiratory|Asthma Therapy|AsthmaMD Peak Flow Meters|1802|METER	PEAK FLOW	ASTHMAMD	60-810 LPM	 OUS|MEDLINE|1802|0.000EA|1.000CS|177.60 |NO GOVERNMENT OR SUPPLIER HCPCS CODE VERIFICATION|||||EA|CS|10 Each / Case|||||||||<ul><li> Portable	 pocket-sized asthma management tool helps patients monitor lung performance and anticipateattacks<br /></li><li> Single-use flowmeter designed to measure peak expiratory flow with universal 60 lpm to 810lpm range for children and adults<br /></li><li> Colorful integrated markers help patients easily monitor changesin air flow with large	 visible scale<br /></li><li> Ergonomically-shaped mouthpiece for secure seal<br/></li><li> Meets all ATS standards for portable peak flowmeters</li></ul>||35|||||||||0.500 LB	 CF PER CS|0.500 |LB|1802              |														
Respiratory|Asthma Therapy|Disposable Cardboard Mouthpieces by Tele|1805|MOUTHPIECE	CARDBOARD	DISPOSABLE	OUS|TELEFLEX MEDICAL|1805|0.000EA|1.000CS|86.20 ||RV||||EA|CS|100 Each / Case 	 1 box / Case||||||http://www.medline.com/media/catalog/sku/180/1805_PRI01.JPG|||<ul><li> Universal cardboard mouthpiece designed for easy attachment</li><li> Disposable for savings andinfection prevention</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.001 |LB|HUD1805|																
Respiratory|Oxygen Therapy|Over-the-Ear Cannulas by Teleflex|1810|O2 CANNULA	ADULT	OVER-EAR	14' TUB	SC|MEDLINE|1810|0.000EA|1.000CS|216.36 ||RV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/181/1810_PRI01.JPG|||<ul><li> Flexible contoured lip tab provides a high level of stability and patient comfort</li><li>Over-the-ear design for a comfortable and secure fit</li><li> Crush- and kink-resistant tubing</li></ul>||35|||||||||0.256LB	 0.043CF PER CS|0.256 |LB|HUD1810|																
Respiratory|Oxygen Therapy|Over-the-Ear Cannulas by Teleflex|1812|O2 CANNULA	ADULT	OVER-EAR	25' TUB	SC|MEDLINE|1812|0.000EA|1.000CS|155.91 ||RV||||EA|CS|25 Each / Case||http://www.medline.com/media/catalog/sku/181/1812_HRE01.JPG||||http://www.medline.com/media/catalog/sku/181/1812_PRI01.JPG|||<ul><li> Flexible contoured lip tab provides a high level of stability and patient comfort</li><li>Over-the-ear design for a comfortable and secure fit</li><li> Crush- and kink-resistant tubing</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.444 |LB|HUD1812|																
Respiratory|Oxygen Therapy|Over-the-Ear Cannulas by Teleflex|1814|O2 CANNULA	ADULT	OVER-EAR	50' TUB	SC	OUS|MEDLINE|1814|0.000EA|1.000CS|272.64 ||OV||||EA|CS|25 Each / Case||http://www.medline.com/media/catalog/sku/181/1814_HRE01.JPG||||http://www.medline.com/media/catalog/sku/181/1814_PRI01.JPG|||<ul><li> Flexible contoured lip tab provides a high level of stability and patient comfort</li><li>Over-the-ear design for a comfortable and secure fit</li><li> Crush- and kink-resistant tubing</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.880 |LB|HUD1814|															
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1816|O2 CANNULA	ADULT	SOFTECH	10' TUB	SC	OUS|MEDLINE|1816|0.000EA|1.000CS|113.51 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/181/1816_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.001 |LB|HUD1816|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1817|O2 CANNULA	ADULT	SOFTECH	14' TUB	SC	OUS|MEDLINE|1817|0.000EA|1.000CS|160.82 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/181/1817_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.020 |LB|HUD1817|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1818|O2 CANNULA	ADULT	SOFTECH	14' TUB	UC	OUS|MEDLINE|1818|0.000EA|1.000CS|190.24 ||RV|||Yes|EA|CS|50 Each / Case|||||||||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||10193489149685|Z1|0.001 LB	 CF PER CS|0.210 |LB|HUD1818|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1819|O2 CANN	AD	SOFTECH	7' SMOOTH TUB	SC	OUS|MEDLINE|1819|0.000EA|1.000CS|93.64 ||OV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/181/1819_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||10193489149692|Z1|0.001 LB	 CF PER CS|0.100 |LB|HUD1819|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1820|O2 CANNULA	ADULT	SOFTECH	7' TUB	SC	OUS|MEDLINE|1820|0.000EA|1.000CS|53.60 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1820_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.097LB	 0.011CF PER CS|0.097 |LB|HUD1820|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1821|O2 CANNULA	ADULT	SOFTECH	NO TUBING	OUS|MEDLINE|1821|0.000EA|1.000CS|40.49 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1821_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.001 |LB|HUD1821|															
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1822|O2 CANNULA	ADULT	SOFTECH	7' TUB	UC	OUS|MEDLINE|1822|0.000EA|1.000CS|55.89 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1822_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.100 |LB|HUD1822|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1823|O2 CANNULA	ADULT	SOFTECH	25' TUB	SC	OUS|MEDLINE|1823|0.000EA|1.000CS|153.49 ||RV||||EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1823_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.340LB	 0.033CF PER CS|0.340 |LB|HUD1823|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1824|O2 CANNULA	ADULT	SOFTECH	25' TUB	UC	OUS|MEDLINE|1824|0.000EA|1.000CS|79.33 ||RV|||Yes|EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1824_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.600LB	 0.029CF PER CS|0.600 |LB|HUD1824|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1825|O2 CANNULA	ADULT	SOFTECH	50' TUB	UC	OUS|MEDLINE|1825|0.000EA|1.000CS|283.56 ||OV||||EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1825_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.650 |LB|HUD1825|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1826|O2 CANNULA	PED	SOFTECH	7' TUB	UC	OUS|MEDLINE|1826|0.000EA|1.000CS|101.78 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1826_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.100LB	 0.001CF PER CS|0.100 |LB|HUD1826|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1828|O2 CANNULA	INFANT	SOFTECH	7' TUB	SC	OUS|MEDLINE|1828|0.000EA|1.000CS|122.96 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/182/1828_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.001LB	 0.006CF PER CS|0.120 |LB|HUD1828|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1831|O2 CANNULA	ADULT	SOFTECH	50' TUB	SC	OUS|MEDLINE|1831|0.000EA|1.000CS|327.96 ||RV|||Yes|EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/183/1831_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.678LB	 0.066CF PER CS|0.678 |LB|HUD1831|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1837|O2 CANNULA	PEDIATRIC	SOFTECH	NO TUB	OUS|MEDLINE|1837|0.000EA|1.000CS|166.80 ||OV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/183/1837_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||10193489149326|Z1|0.001 LB	 CF PER CS|0.037 |LB|HUD1837|															
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1838|O2 CANNULA	PED	SOFTECH	7' TUB	SC	OUS|MEDLINE|1838|0.000EA|1.000CS|229.27 ||RV|||Yes|EA|CS|50 Each / Case 	 5 box / Case||||||http://www.medline.com/media/catalog/sku/183/1838_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||||0.050LB	 0.008CF PER CS|0.050 |LB|HUD1838|													
Respiratory|Oxygen Therapy|Dual Lumen Nasal Cannulas|1850|O2 CANNULA	ADLT	CONSERVING	5' TUB	SC	OUS|MEDLINE|1850|0.000EA|1.000CS|183.98 ||OV|||Yes|EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/185/1850_PRI01.JPG|||<ul><li> Incorporates split-prong nasal design and two oxygen supply tubes with standardconnectors</li><li> Design provides control and comfort in synchronizing breathing with oxygen conservingregulators</li><li> Requires a conserving regulator with two ports	 one for oxygen delivery and one for pressuresampling</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.500 |LB|HUD1850|														
Respiratory|Oxygen Therapy|Dual Lumen Nasal Cannulas|1851|O2 CANNULA	ADLT	CONSERVING	7' TUB	SC	OUS|MEDLINE|1851|0.000EA|1.000CS|195.42 ||RV|||Yes|EA|CS|25 Each / Case||||||http://www.medline.com/media/catalog/sku/185/1851_PRI01.JPG|||<ul><li> Incorporates split-prong nasal design and two oxygen supply tubes with standardconnectors</li><li> Design provides control and comfort in synchronizing breathing with oxygen conservingregulators</li><li> Requires a conserving regulator with two ports	 one for oxygen delivery and one for pressuresampling</li></ul>||35|||||||||0.001LB	 0CF PER CS|0.001 |LB|HUD1851|														
Respiratory|Oxygen Therapy|Comfort Fit Ear Cushion Cannulas by Tef|1867|O2 CANN	ADULT	HI-FLO	EAR CUSH	14	 OUS|TELEFLEX MEDICAL|1867|0.000EA|1.000CS|143.29 |NO GOVERNMENT OR SUPPLIER HCPCS CODE VERIFICATION|OV|||Yes|EA|CS|50 Each / Case|||||||||<ul><li> Soft cannula with ear cushion designed to relieve pressure around patient's ear and promote comfort<br/></li><li> Complete with crush- and kink-resistant Star Lumen oxygen supply tubing	 standard connector	 and nasaltip<br /></li><li> Lightweight and flexible construction for added comfort</li></ul>||35|||||||||0.240 LB	 CF PER CS|0.240 |LB|1867              |													
Respiratory|Oxygen Therapy|Pre-Slit Ear Cushions by Teleflex|1868|CUSHIONS	EAR	PRE SLIT	OUS|MEDLINE|1868|0.000PAA|1.000CS|124.91 ||OV|||Yes|PR|CS|25 Pair / Case|||||||||<ul><li> Comfort Fit Ear Cushions help relieve pressure around the ears</li><li> Over-the-ear design forfit and stability while maximizing patient comfort</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.010 |LB|HUD1868PRCS|																	
Respiratory|Oxygen Therapy|Softech Plus Nasal Cannulas|1870|O2 CANNULA	ADULT	SOFTECH +	7' TUB	SC	OUS|MEDLINE|1870|0.000EA|1.000CS|153.04 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/187/1870_PRI01.JPG|||<ul><li> Vinyl	 star lumen tubing</li><li> Single-use</li></ul>||35|||||||||0.107LB	 0.011CF PER CS|0.107 |LB|HUD1870|														
Respiratory|Oxygen Therapy|Softech Plus Nasal Cannulas|1871|O2 CANNULA	PED	SOFTECH +	7' TUB	SC	O|MEDLINE|1871|0.000EA|1.000CS|457.69 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/187/1871_PRI01.JPG|||<ul><li> Vinyl	 star lumen tubing</li><li> Single-use</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.001 |LB|HUD1871|														
Respiratory|Oxygen Therapy|Softech Plus Nasal Cannulas|1872|O2 CANNULA	INFNT	SOFTECH +	7' TUB	SC	OUS|MEDLINE|1872|0.000EA|1.000CS|697.49 ||RV||||EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/187/1872_PRI01.JPG|||<ul><li> Vinyl	 star lumen tubing</li><li> Single-use</li></ul>||35|||||||||0.001LB	 0.005CF PER CS|0.146 |LB|HUD1872|														
Respiratory|Oxygen Therapy|Softech Plus Nasal Cannulas|1873|O2 CANNULA	NEONATE	SOFTECH+	7'TUB	SC	OUS|MEDLINE|1873|0.000EA|1.000CS|117.51 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/187/1873_PRI01.JPG|||<ul><li> Vinyl	 star lumen tubing</li><li> Single-use</li></ul>||35|||||||||0.101LB	 0.012CF PER CS|0.101 |LB|HUD1873|														
Respiratory|Oxygen Therapy|SOFTECH Standard Nasal Cannulas|1874|O2 CANNULA	ADULT	SOFTECH +	7' TUB	UC	OUS|MEDLINE|1874|0.000EA|1.000CS|196.73 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/187/1874_PRI01.JPG|||<ul><li> Lightweight	 flexible nasal cannulas with standard over-the-ear design offer optimal fit and stability<br/></li><li> Soft nasal prongs help maximize patient comfort<br /></li><li> Individually packagedfor convenience</li></ul>||35|||||||10193489149265|Z1|0.001 LB	 CF PER CS|0.001 |LB|HUD1874|														
Respiratory|Oxygen Therapy|Softech Plus Nasal Cannulas|1876|O2 CANNULA	ADULT	SOFTECH +	7' TUB	UC	OUS|MEDLINE|1876|0.000EA|1.000CS|463.00 ||RV|||Yes|EA|CS|50 Each / Case||http://www.medline.com/media/catalog/sku/187/1876_HRE01.JPG||||http://www.medline.com/media/catalog/sku/187/1876_PRI01.JPG|||<ul><li> Vinyl	 star lumen tubing</li><li> Single-use</li></ul>||35|||||||10193489149272|Z1|0.001 LB	 CF PER CS|0.106 |LB|HUD1876|														
Respiratory|Oxygen Therapy|Softech Plus Nasal Cannulas|1877|O2 CANNULA	ADLT	SOFTECH +	14' TUB	SC	OUS|MEDLINE|1877|0.000EA|1.000CS|223.56 ||RV|||Yes|EA|CS|50 Each / Case||||||http://www.medline.com/media/catalog/sku/187/1877_PRI01.JPG|||<ul><li> Vinyl	 star lumen tubing</li><li> Single-use</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.167 |LB|HUD1877|														
Respiratory|Asthma Therapy|Micro Mist Nebulizers by Teleflex|1880|NEBULIZR	MICROMIST	CUP ONLY	OUS|MEDLINE|1880|0.000EA|1.000CS|84.11 ||RV||||EA|CS|50 Each / Case|||||http://www.medline.com/media/catalog/Docs/MKT/LITe21810_SSH_Micro Mist Nebuilzer_1.pdf|http://www.medline.com/media/catalog/sku/188/1880_PRI01.JPG|||<ul><li>Small-volume nebulizers are designed to deliver optimal particle size at efficient nebulization rates forhand-held or in-line treatments</li><li>Consistent performance at angles up to 90° helps clinicians administermedication to patients positioned horizontally or with special treatment requirements</li><li>Feature easy-seal	threaded cap	 and 6 cc capacity</li><li>Anti-spill jar helps prevent leakage</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.057 |LB|HUD1880|															
Respiratory|Asthma Therapy|Micro Mist Nebulizers by Teleflex|1881|NEBULIZER	MICROMIST	T	MOUTHPC	OUS|MEDLINE|1881|0.000EA|1.000CS|134.73 ||RV|||Yes|EA|CS|50 Each / Case||http://www.medline.com/media/catalog/sku/188/D1200012730150_260620230904.jpg	http://www.medline.com/media/catalog/sku/188/D1200012730154_260620230904.jpg||||http://www.medline.com/media/catalog/sku/188/D12000126748934_060520231255.jpg	http://www.medline.com/media/catalog/sku/188/D1200012730152_260620230904.jpg|||<ul><li>Small-volume nebulizers are designed to deliver optimal particle size at efficient nebulization rates forhand-held or in-line treatments</li><li>Consistent performance at angles up to 90° helps clinicians administermedication to patients positioned horizontally or with special treatment requirements</li><li>Feature easy-seal	threaded cap	 and 6 cc capacity</li><li>Anti-spill jar helps prevent leakage</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.087 |LB|HUD1881|												
Respiratory|Asthma Therapy|Micro Mist Nebulizers by Teleflex|1882|NEBULIZER	MICROMIST	T	MOUTHPC	7'TUB	OUS|MEDLINE|1882|0.000EA|1.000CS|72.84 ||RV|||Yes|EA|CS|50 Each / Case||http://www.medline.com/media/catalog/sku/188/1882_HRE01.JPG|||http://www.medline.com/media/catalog/Docs/MKT/LITe21810_SSH_Micro Mist Nebuilzer_1.pdf|http://www.medline.com/media/catalog/sku/188/1882_PRI01.JPG|||<ul><li>Small-volume nebulizers are designed to deliver optimal particle size at efficient nebulization rates forhand-held or in-line treatments</li><li>Consistent performance at angles up to 90° helps clinicians administermedication to patients positioned horizontally or with special treatment requirements</li><li>Feature easy-seal	threaded cap	 and 6 cc capacity</li><li>Anti-spill jar helps prevent leakage</li></ul>||35|||||||||0.160LB	 0.018CF PER CS|0.160 |LB|HUD1882|													
Excluded Items|European/International Items|European/International Items|1883|NEBULIZER	MICROMIST	SM VOL	7' TUBING	OUS|TELEFLEX MEDICAL|1883|0.000EA|1.000CS|53.24 ||RV|||Yes|EA|CS|50 Each / Case 	 1 box / Case|||||||||||35|||||||||0.165LB	 0.026CF PER CS|0.165 |LB|1883              |															
Respiratory|Asthma Therapy|Micro Mist Nebulizers by Teleflex|1884|NEB	MICROMIST	T	MOUTHP	6"	7'TUB	UC	OUS|MEDLINE|1884|0.000EA|1.000CS|182.07 ||RV|||Yes|EA|CS|50 Each / Case||http://www.medline.com/media/catalog/sku/188/1884_HRE01.JPG|||http://www.medline.com/media/catalog/Docs/MKT/LITe21810_SSH_Micro Mist Nebuilzer_1.pdf|http://www.medline.com/media/catalog/sku/188/1884_PRI01.JPG|||<ul><li>Small-volume nebulizers are designed to deliver optimal particle size at efficient nebulization rates forhand-held or in-line treatments</li><li>Consistent performance at angles up to 90° helps clinicians administermedication to patients positioned horizontally or with special treatment requirements</li><li>Feature easy-seal	threaded cap	 and 6 cc capacity</li><li>Anti-spill jar helps prevent leakage</li></ul>||35|||||||||0.001LB	 0.026CF PER CS|0.100 |LB|HUD1884|											
Excluded Items|European/International Items|European/International Items|1885|NEBULIZER	MICROMIST	ADLT	7'TUB	SC	OUS|TELEFLEX MEDICAL|1885|0.000EA|1.000CS|72.91 ||RV|||Yes|EA|CS|50 Each / Case|||||||||||35|||||||||0.001LB	 0.021CF PER CS|0.001 |LB|1885              |															
Respiratory|Asthma Therapy|Micro Mist Nebulizers by Teleflex|1886|NEBULIZR	MICROMIST	PED MASK	7'TUB	SC	OUS|MEDLINE|1886|0.000EA|1.000CS|297.47 ||RV|||Yes|EA|CS|50 Each / Case|||||http://www.medline.com/media/catalog/Docs/MKT/LITe21810_SSH_Micro Mist Nebuilzer_1.pdf|http://www.medline.com/media/catalog/sku/188/1886_PRI01.JPG|||<ul><li>Small-volume nebulizers are designed to deliver optimal particle size at efficient nebulization rates forhand-held or in-line treatments</li><li>Consistent performance at angles up to 90° helps clinicians administermedication to patients positioned horizontally or with special treatment requirements</li><li>Feature easy-seal	threaded cap	 and 6 cc capacity</li><li>Anti-spill jar helps prevent leakage</li></ul>||35|||||||||0.330LB	 0.025CF PER CS|0.330 |LB|HUD1886CS|													
Respiratory|Aerosol Therapy|Neb-U-Mask System by Teleflex Medical|1895|NEBULIZR	HIGH CONC ADLT MASK	RES BAG	OUS|MEDLINE|1895|0.000EA|1.000CS|434.96 ||RV|||Yes|EA|CS|20 Each / Case||||||http://www.medline.com/media/catalog/sku/189/1895_PRI01.JPG|||<ul><li> The Neb-U-Mask System is a combination device that allows for the concurrent delivery of aerosolizedmedications and high concentrations of oxygen or heliox</li><li> System includes a wye design featuring a nebulizerconnection and MDI port	 a high-concentration mask	 and a 750 mL gas reservoir bag</li><li> The nebulizer connectionfeatures a valved port	 which maintains a closed system when the nebulizer is not in use</li><li> Packaged with a MicroMist Nebulizer and color-coded gas supply tubing to facilitate ease of use</li><li> Nebulizes at angles up to 90° andfeatures a swivel connector	 allowing the system to be used in a manner most comfortable for the patient</li></ul>||35|||||||||0.001 LB	 CF PER CS|0.430 |LB|HUD1895|													
